Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2020-05-06,,0.0,
2020-05-13,1.0,0.06095999999999999,0.06095999999999999
2020-06-03,1.0,0.7162799999999999,0.65532
2020-06-17,1.0,0.18288,-0.5333999999999999
2020-07-01,1.0,0.59436,0.41147999999999996
2020-09-03,1.0,1.20396,0.6095999999999999
2020-09-23,1.0,1.3716,0.16764000000000004
2020-12-21,3.0,8.54964,7.17804
2021-01-21,2.0,10.91184,2.362199999999999
2021-02-22,2.0,15.102839999999999,4.191000000000001
2021-03-23,2.0,19.1262,4.023359999999999
2021-04-21,3.0,29.093159999999997,9.966959999999998
2021-05-21,2.0,30.26664,1.1734800000000005
2021-07-23,2.0,31.348679999999998,1.0820399999999992
